"wikidata_uri","label","birth_year","gender","label","geo_coordinates","wikidata_uri"
http://www.wikidata.org/entity/Q10325884,Maria Helena Guimarães de Castro,1946,female,Presidente Prudente,POINT(-51.388889 -22.125833),http://www.wikidata.org/entity/Q525618
http://www.wikidata.org/entity/Q10326178,Maria do Carmo Brito,1943,female,Belo Horizonte,POINT(-43.941945 -19.928056),http://www.wikidata.org/entity/Q42800
http://www.wikidata.org/entity/Q10327679,Maurício Tragtenberg,1929,male,Getúlio Vargas,POINT(-52.227778 -27.890000),http://www.wikidata.org/entity/Q1750452
http://www.wikidata.org/entity/Q1032787,András Hajós,1969,male,Budapest,POINT(19.040833 47.498333),http://www.wikidata.org/entity/Q1781
http://www.wikidata.org/entity/Q103278834,Heinz Renn,1940,male,Mayen,POINT(7.216667 50.333333),http://www.wikidata.org/entity/Q516611
http://www.wikidata.org/entity/Q1032918,Candace Gingrich,1966,genderqueer,Harrisburg,POINT(-76.883382 40.264555),http://www.wikidata.org/entity/Q25280
http://www.wikidata.org/entity/Q1032992,Candido Mendes,1928,male,Rio de Janeiro,POINT(-43.205555 -22.911111),http://www.wikidata.org/entity/Q8678
http://www.wikidata.org/entity/Q103311,Frigga Haug,1937,female,Mülheim an der Ruhr,POINT(6.882500 51.427500),http://www.wikidata.org/entity/Q2899
http://www.wikidata.org/entity/Q103316680,Guang Guo,1927,"",Beijing,POINT(116.407526 39.904030),http://www.wikidata.org/entity/Q956
http://www.wikidata.org/entity/Q103322724,Tamás Szecskő,1933,male,Debrecen,POINT(21.639167 47.530000),http://www.wikidata.org/entity/Q79880
http://www.wikidata.org/entity/Q1033265,József Halász,1874,male,Gamás,POINT(17.761619 46.619739),http://www.wikidata.org/entity/Q971347
http://www.wikidata.org/entity/Q10333245,Muniz Sodré,1942,male,São Gonçalo dos Campos,POINT(-38.966944 -12.432778),http://www.wikidata.org/entity/Q1793783
http://www.wikidata.org/entity/Q10334265,Márcia Mafra,1947,female,São Paulo,POINT(-46.633947 -23.550394),http://www.wikidata.org/entity/Q174
