"wikidata_uri","label","birth_year","gender"
http://www.wikidata.org/entity/Q10334502,Mário Osório Marques,1925,male
http://www.wikidata.org/entity/Q103347361,,1959,male
http://www.wikidata.org/entity/Q10336359,Nereu do Vale Pereira,1928,male
http://www.wikidata.org/entity/Q10336952,Nina Rodrigues,1862,male
http://www.wikidata.org/entity/Q103381,Nicolaus Sombart,1923,male
http://www.wikidata.org/entity/Q10340144,Octavio Ianni,1926,male
http://www.wikidata.org/entity/Q10340715,Oliveira Viana,1883,male
http://www.wikidata.org/entity/Q10341230,Oracy Nogueira,1917,male
http://www.wikidata.org/entity/Q103445,Erhard Roy Wiehn,1937,male
http://www.wikidata.org/entity/Q10346501,Paulo Castro Seixas,1967,male
http://www.wikidata.org/entity/Q10346835,Paulo Stuart Wright,1933,male
http://www.wikidata.org/entity/Q10346891,Paulo de Carvalho,1960,male
http://www.wikidata.org/entity/Q10347589,Pedro Manuel Arcaya,1874,male
http://www.wikidata.org/entity/Q10358643,Reginaldo Prandi,1946,male
http://www.wikidata.org/entity/Q10361071,Ricardo Antunes,1953,male
http://www.wikidata.org/entity/Q10361287,Richard Guy Parker,1956,male
http://www.wikidata.org/entity/Q1036496,Carl-Heinz Boettcher,1928,male
http://www.wikidata.org/entity/Q10365438,Ruy Braga,1972,male
http://www.wikidata.org/entity/Q103658,Thomas Lutz,1957,male
http://www.wikidata.org/entity/Q10367523,Sanchotene Felice,1935,male
http://www.wikidata.org/entity/Q103680,Bernhard Mann,1950,male
http://www.wikidata.org/entity/Q1036829,Carl August Emge,1886,male
http://www.wikidata.org/entity/Q10370239,Sergio Miceli,1945,male
http://www.wikidata.org/entity/Q1037213,Carl Buttenstedt,1845,male
http://www.wikidata.org/entity/Q1037247,Róza Hodosán,1954,female
http://www.wikidata.org/entity/Q1037368,Carl Cleveland Taylor,1884,male
http://www.wikidata.org/entity/Q10374688,Sueli Carneiro,1950,female
http://www.wikidata.org/entity/Q10376097,Sérgio Amadeu da Silveira,1961,male
http://www.wikidata.org/entity/Q103769532,Holger Marcks,1981,male
http://www.wikidata.org/entity/Q103810213,Paul Kishindo,1952,male
http://www.wikidata.org/entity/Q103820262,Susanne Sackl,1984,female
http://www.wikidata.org/entity/Q103843026,Milan Ivšić,1887,male
http://www.wikidata.org/entity/Q103847114,Monika Chabior,1980,female
http://www.wikidata.org/entity/Q103848873,Julia Bernstein,1972,female
http://www.wikidata.org/entity/Q10385450,Tuna Dwek,1957,female
http://www.wikidata.org/entity/Q10389184,Vanya Sant´Anna,1944,female
http://www.wikidata.org/entity/Q10390357,Víctor Kajibanga,1963,male
http://www.wikidata.org/entity/Q103916589,Mariangela Roselli,1964,female
http://www.wikidata.org/entity/Q10391661,Violeta Arraes,1926,female
http://www.wikidata.org/entity/Q10391749,Virgínia Leone Bicudo,1910,female
http://www.wikidata.org/entity/Q103921809,Martin Fafejta,1968,male
http://www.wikidata.org/entity/Q10393022,Walnice Nogueira Galvão,1937,female
http://www.wikidata.org/entity/Q10396371,Ênio Silveira,1925,male
http://www.wikidata.org/entity/Q1039705,Carl Mayer,1902,male
http://www.wikidata.org/entity/Q1039736,Carl Mennicke,1887,male
http://www.wikidata.org/entity/Q104012554,Hélène Antonopoulo,1891,female
http://www.wikidata.org/entity/Q104012899,Takashi Kashima,1975,male
http://www.wikidata.org/entity/Q104013,Dirk Helbing,1965,male
http://www.wikidata.org/entity/Q104042501,Narda Henríquez,1944,female
http://www.wikidata.org/entity/Q104052848,Loredana Sciolla,1947,female
http://www.wikidata.org/entity/Q104053997,Mūsá Abū Zayd,1962,male
http://www.wikidata.org/entity/Q104056585,Fatma Müge Göçek,1950,female
http://www.wikidata.org/entity/Q104088186,Yuval Evri,1973,male
http://www.wikidata.org/entity/Q1040900,Carl Vogl,1866,male
http://www.wikidata.org/entity/Q104147114,Elena R. Gutiérrez,1970,female
http://www.wikidata.org/entity/Q104153212,Michał Jan Lutostański,1985,male
http://www.wikidata.org/entity/Q104161626,Alberto Cevolini,1974,male
http://www.wikidata.org/entity/Q104184443,Fanny Tabak,1924,female
http://www.wikidata.org/entity/Q104193124,João Batista de Castro Rebelo Jr.,1853,male
http://www.wikidata.org/entity/Q104198645,Zdeněk Suda,1920,male
http://www.wikidata.org/entity/Q104214888,Regine Azria,1948,female
http://www.wikidata.org/entity/Q104215021,Cheryl Townsend Gilkes,1947,female
http://www.wikidata.org/entity/Q104215560,Margarete Freudenthal-Sallis,1894,female
http://www.wikidata.org/entity/Q104233321,Uta Meier-Gräwe,1952,female
http://www.wikidata.org/entity/Q104243467,Camilla Sløk,1967,female
http://www.wikidata.org/entity/Q104272,Helmut Schelsky,1912,male
http://www.wikidata.org/entity/Q104273313,Stuart Schrader,1978,male
http://www.wikidata.org/entity/Q104376874,Cristóbal Rovira Kaltwasser,1978,male
http://www.wikidata.org/entity/Q104376893,Marie-France Malonga,1973,female
http://www.wikidata.org/entity/Q104382702,Alfonso Pérez-Agote,1950,male
http://www.wikidata.org/entity/Q1044177,Carol Hagemann-White,1942,female
http://www.wikidata.org/entity/Q1044238,Carola Lentz,1954,female
http://www.wikidata.org/entity/Q1044263,Carola Stern,1925,female
http://www.wikidata.org/entity/Q104437883,Jan-Hendrik Passoth,1978,male
http://www.wikidata.org/entity/Q104440720,Aliaksei Lastouski,1979,male
http://www.wikidata.org/entity/Q104445079,Pierrette Hondagneu-Sotelo,1957,female
http://www.wikidata.org/entity/Q104455300,Giuseppe Monteduro,1981,male
http://www.wikidata.org/entity/Q104471250,Nicole Eizner,1931,female
http://www.wikidata.org/entity/Q104479622,Jeanne Clare Ridley,1925,female
http://www.wikidata.org/entity/Q104485,Manfred Sapper,1962,male
http://www.wikidata.org/entity/Q104493814,Tomáš Doseděl,1980,male
http://www.wikidata.org/entity/Q104502262,David Duncan,1839,male
http://www.wikidata.org/entity/Q104514121,Robert André,1925,male
http://www.wikidata.org/entity/Q104523765,Tomasz Grosse,1968,male
http://www.wikidata.org/entity/Q104525906,Teresa Valdés,1951,female
http://www.wikidata.org/entity/Q104527080,Thomas Scheffer,1967,male
http://www.wikidata.org/entity/Q104527396,Hans-Peter Müller,1946,male
http://www.wikidata.org/entity/Q104530956,Vesna Kesić,1948,female
http://www.wikidata.org/entity/Q104532419,David Thorns,1943,male
http://www.wikidata.org/entity/Q104539544,J. P. Nettl,1926,male
http://www.wikidata.org/entity/Q104563925,George Ross,1940,male
http://www.wikidata.org/entity/Q104566213,Pauwke Berkers,1977,male
http://www.wikidata.org/entity/Q1045715,Carsten Winter,1966,male
http://www.wikidata.org/entity/Q104574369,Janet McIntyre-Mills,1959,female
http://www.wikidata.org/entity/Q104585703,Barry Smart,1946,male
http://www.wikidata.org/entity/Q104585808,Mary Evans,1946,female
http://www.wikidata.org/entity/Q104586771,John A. Hughes,1941,male
http://www.wikidata.org/entity/Q104587019,Peter Cutt Lloyd,1927,male
http://www.wikidata.org/entity/Q104587540,Jarosław Ćwiek-Karpowicz,1981,male
http://www.wikidata.org/entity/Q104591547,Anke Abraham,1960,female
http://www.wikidata.org/entity/Q104599,Götz Briefs,1889,male
http://www.wikidata.org/entity/Q104617080,Roger Girod,1921,male
http://www.wikidata.org/entity/Q104620232,Andrew Webster,1951,male
http://www.wikidata.org/entity/Q104622799,Manolis  Markakis,1942,male
http://www.wikidata.org/entity/Q104625352,James M. Thomas,1982,male
http://www.wikidata.org/entity/Q104631127,Jerzy Kossak,1927,male
http://www.wikidata.org/entity/Q104631133,Otto Ullrich,1938,male
http://www.wikidata.org/entity/Q104632602,Eva Haifa Giraud,1984,female
http://www.wikidata.org/entity/Q104649898,Lutz Kaelber,1962,male
http://www.wikidata.org/entity/Q104665645,Leszek Sibilski,1958,male
http://www.wikidata.org/entity/Q104670577,Emanuele Castelli,1976,male
http://www.wikidata.org/entity/Q104673066,Giuseppe Anzera,1967,male
http://www.wikidata.org/entity/Q104683863,Ute Symanski,1970,female
http://www.wikidata.org/entity/Q104705928,Samih Farsoun,1937,male
http://www.wikidata.org/entity/Q104722929,Lin Thung-hong,1974,male
http://www.wikidata.org/entity/Q1047237,Fedir Szczerbyna,1849,male
http://www.wikidata.org/entity/Q104733693,Alain de Vulpian,1929,male
http://www.wikidata.org/entity/Q104759560,Hary Kuller,1929,male
